EMG,EMG integral
-0.296631,0.124817
-0.155029,0.125623
-0.380859,0.128503
-0.112305,0.128418
-0.26062,0.129755
-0.0469971,0.12851
-0.333252,0.130597
-0.210571,0.131378
-0.365601,0.133673
-0.139771,0.133612
0.00854492,0.131195
-0.0262451,0.129456
-0.217285,0.130322
-0.202026,0.130841
-0.217896,0.131
0.101318,0.129871
0.0384521,0.12829
-0.0280762,0.126837
0.36438,0.128748
0.168457,0.128839
0.175171,0.129364
-0.0366211,0.128656
0.057373,0.12818
-0.222168,0.129303
-0.0476074,0.129236
-0.252075,0.131561
-0.217285,0.133099
-0.302734,0.135797
-0.119629,0.136584
0.125122,0.13587
-0.0152588,0.134528
-0.0500488,0.13432
0.0622559,0.133221
-0.155029,0.133502
-0.222168,0.133051
-0.22644,0.134039
-0.341797,0.13656
-0.292969,0.139038
-0.463257,0.142871
-0.0286865,0.141266
-0.120239,0.141174
-0.115967,0.141394
-0.129395,0.141473
-0.0183105,0.140143
-0.162354,0.138831
-0.088501,0.137885
0.154419,0.136505
-0.0421143,0.135022
-0.26062,0.136108
-0.136108,0.13576
-0.125732,0.135577
-0.166016,0.136444
-0.0860596,0.135913
-0.0299072,0.135968
0.010376,0.135889
-0.0213623,0.13551
-0.0714111,0.136163
0.143433,0.136688
-0.0598145,0.137238
0.012207,0.136737
-0.0671387,0.135785
-0.15625,0.136475
-0.0341797,0.136444
-0.101929,0.137396
-0.219116,0.138123
-0.266113,0.137219
-0.0653076,0.137256
-0.198975,0.138293
-0.142822,0.13822
-0.098877,0.137939
-0.186768,0.138147
-0.162964,0.137854
-0.111694,0.136493
-0.256958,0.136493
-0.203857,0.13786
-0.0701904,0.138062
-0.150757,0.138464
-0.222168,0.138483
-0.0592041,0.138287
-0.105591,0.137451
-0.0488281,0.137823
0.0701904,0.138171
0.0762939,0.138666
-0.0622559,0.137848
-0.125732,0.138733
0.00488281,0.137982
-0.0482178,0.137842
-0.160522,0.137762
-0.291138,0.139044
-0.172729,0.140118
-0.0976563,0.140082
-0.101318,0.139813
-0.148315,0.141016
-0.0921631,0.141498
-0.0592041,0.140143
0.0549316,0.139954
0.0128174,0.139288
0.125122,0.139441
-0.00793457,0.137744
0.0494385,0.137329
0.0201416,0.134564
-0.130615,0.13432
-0.043335,0.130945
0.00671387,0.129889
-0.167236,0.128955
-0.126343,0.129749
-0.171509,0.128131
-0.346069,0.129486
-0.219116,0.128021
-0.125122,0.127875
-0.166626,0.129456
-0.0640869,0.129834
-0.0598145,0.128259
-0.192261,0.128162
-0.117188,0.127155
-0.0512695,0.126654
-0.0494385,0.126764
-0.0549316,0.127032
-0.144653,0.124835
