EEG,alpha,beta,delta,theta
0.18311,0.18462,0.04119,0.89781,-0.06743
-0.37231,0.19916,-0.57113,1.04632,-0.2217
0.43335,0.18217,-0.91086,1.19337,-0.39215
1.30615,0.14344,-0.77143,1.33777,-0.57289
1.2146,0.09505,-0.24916,1.47838,-0.75733
0.57983,0.04899,0.32359,1.61415,-0.93817
0.36011,0.01496,0.59939,1.74397,-1.10739
0.99487,-0.00099,0.4395,1.86672,-1.25679
1.36108,0.00272,-0.00483,1.98123,-1.37833
0.87891,0.02353,-0.40096,2.0864,-1.46461
0.25635,0.05534,-0.458,2.18129,-1.50916
0.39063,0.08952,-0.11478,2.26503,-1.50677
1.17798,0.11693,0.42375,2.33683,-1.4539
1.83105,0.12942,0.81959,2.39592,-1.34887
1.63574,0.12139,0.81324,2.4417,-1.19202
1.33667,0.09048,0.37858,2.47371,-0.98574
0.98877,0.03797,-0.2692,2.49162,-0.73442
0.84839,-0.03125,-0.80832,2.49515,-0.44434
0.66528,-0.10924,-0.99789,2.4841,-0.12358
1.08032,-0.18616,-0.80007,2.45836,0.21813
1.82495,-0.25152,-0.36949,2.41801,0.56964
3.00903,-0.2957,0.06997,2.36333,0.91892
4.19312,-0.31128,0.36926,2.29473,1.25355
4.73022,-0.29412,0.51878,2.21274,1.56126
4.73633,-0.24373,0.59832,2.11796,1.83035
4.66919,-0.16343,0.66204,2.0111,2.05018
4.94995,-0.06024,0.66009,1.89298,2.21154
5.36499,0.05583,0.46806,1.76451,2.30713
4.93774,0.17281,0.01054,1.62675,2.33191
3.75977,0.27825,-0.61705,1.48088,2.28318
2.6001,0.36066,-1.14006,1.32812,2.1607
2.04468,0.41064,-1.24606,1.16979,1.96685
2.53906,0.42195,-0.79619,1.00715,1.70663
2.99683,0.39216,0.04128,0.84154,1.3877
2.96631,0.32302,0.84877,0.67438,1.01987
2.41089,0.22051,1.19586,0.50711,0.61483
1.46484,0.09426,0.90814,0.34118,0.18566
0.46997,-0.04342,0.18832,0.17798,-0.25352
-0.8728,-0.17893,-0.5046,0.01885,-0.68804
-2.37427,-0.2987,-0.74667,-0.13491,-1.1032
-3.00293,-0.39053,-0.42236,-0.28203,-1.48489
-2.83203,-0.4448,0.20527,-0.42135,-1.82007
-2.63672,-0.45563,0.67604,-0.55176,-2.09737
-2.96021,-0.42168,0.64292,-0.67217,-2.30741
-3.89404,-0.34647,0.10294,-0.78154,-2.44327
-4.8584,-0.23796,-0.60565,-0.87899,-2.50059
-5.59692,-0.10774,-1.0305,-0.96388,-2.47775
-5.15747,0.03045,-0.89976,-1.03565,-2.3759
-3.65601,0.16215,-0.28867,-1.09389,-2.19902
-2.01416,0.27386,0.44484,-1.13819,-1.95379
-1.09863,0.35458,0.8988,-1.16832,-1.64929
-1.34277,0.39705,0.87477,-1.18419,-1.29667
-1.5564,0.39854,0.47254,-1.18587,-0.90868
-1.36108,0.36088,-0.01425,-1.17361,-0.49922
-0.41504,0.29009,-0.31071,-1.14779,-0.08272
0.40283,0.19542,-0.32858,-1.10883,0.32646
0.22583,0.08832,-0.18252,-1.05723,0.71453
-0.3479,-0.01913,-0.06668,-0.99362,1.06858
-0.49439,-0.11568,-0.09728,-0.91873,1.37709
0.55542,-0.19248,-0.23604,-0.83339,1.63042
1.46484,-0.24379,-0.33861,-0.73854,1.82129
1.26953,-0.26722,-0.27655,-0.63516,1.94493
0.8728,-0.26353,-0.03743,-0.52429,1.999
0.83618,-0.2362,0.26662,-0.40701,1.98375
1.70288,-0.19074,0.47899,-0.28443,1.90198
2.47192,-0.13383,0.50166,-0.1577,1.75897
2.36206,-0.07236,0.34742,-0.02799,1.5622
1.83716,-0.01249,0.11062,0.10359,1.32087
1.01318,0.04107,-0.10828,0.23603,1.04544
0.40283,0.08542,-0.2612,0.36835,0.74738
0.48828,0.11915,-0.35365,0.49953,0.4386
0.75073,0.1418,-0.40078,0.62855,0.1311
0.7019,0.15349,-0.38696,0.75445,-0.16368
0.15259,0.15456,-0.27032,0.87636,-0.43522
-0.42114,0.1454,-0.02842,0.99357,-0.67434
-0.19531,0.12625,0.29252,1.1054,-0.87333
0.42725,0.09717,0.57392,1.21125,-1.02641
1.19629,0.05857,0.67834,1.31024,-1.12985
1.08643,0.01171,0.5258,1.40151,-1.18219
0.28687,-0.04064,0.14423,1.48502,-1.18402
-0.29297,-0.09414,-0.33817,1.56124,-1.13799
-0.42725,-0.143,-0.74627,1.63089,-1.04856
0.23193,-0.18052,-0.92299,1.69391,-0.92183
0.77515,-0.19994,-0.77968,1.7498,-0.76517
1.23901,-0.19547,-0.32419,1.79832,-0.58699
1.86768,-0.16352,0.32645,1.8397,-0.39629
2.7832,-0.10399,0.9541,1.87439,-0.20223
3.34473,-0.02087,1.2913,1.90291,-0.01368
3.17383,0.07749,1.12761,1.9257,0.16121
2.53296,0.17902,0.4407,1.94315,0.3152
1.95923,0.26922,-0.52789,1.95565,0.44236
1.41602,0.33307,-1.33535,1.96365,0.53816
1.40991,0.35741,-1.54848,1.96778,0.59957
1.78223,0.33319,-1.00615,1.96875,0.62513
2.41699,0.25736,0.03614,1.96721,0.61504
3.21045,0.13419,1.00693,1.96369,0.57118
3.59497,-0.02452,1.34299,1.95873,0.49698
3.58887,-0.20029,0.8496,1.95289,0.39711
2.67334,-0.37007,-0.14617,1.94669,0.27726
0.95825,-0.5091,-0.97836,1.9406,0.14382
-0.30518,-0.59435,-1.06644,1.93499,0.00359
-0.20752,-0.60835,-0.31057,1.93023,-0.13654
1.60522,-0.54216,0.81823,1.92667,-0.26986
3.16772,-0.39739,1.56885,1.92461,-0.39012
2.948,-0.18678,1.39989,1.92425,-0.49175
1.17188,0.06699,0.34075,1.92571,-0.57006
-0.72632,0.33361,-1.02192,1.92907,-0.62147
-0.8667,0.57884,-1.91973,1.93436,-0.64383
0.24414,0.76891,-1.88318,1.94155,-0.63637
1.78223,0.87526,-1.00413,1.95053,-0.59971
3.06396,0.87881,0.17739,1.96112,-0.53568
3.71704,0.77311,1.05545,1.97317,-0.44725
4.09546,0.56597,1.32739,1.98645,-0.33834
3.58887,0.27875,1.10468,2.0007,-0.21365
2.93579,-0.05584,0.72733,2.01558,-0.07852
2.49634,-0.39778,0.4578,2.03075,0.06139
2.32544,-0.70465,0.29998,2.04583,0.20033
2.04468,-0.93711,0.06707,2.06044,0.33267
0.94605,-1.06441,-0.38641,2.07417,0.45327
0.02441,-1.06882,-0.97546,2.08665,0.55762
-0.02441,-0.94799,-1.40166,2.09744,0.64202
0.49439,-0.7152,-1.3649,2.10613,0.70362
1.71509,-0.39739,-0.79897,2.11231,0.74046
3.07617,-0.03187,0.05533,2.11567,0.75172
4.48608,0.33807,0.79937,2.11596,0.73765
5.34668,0.6687,1.13485,2.11289,0.69953
4.92554,0.92149,1.03738,2.10622,0.63948
4.37012,1.0681,0.72367,2.09571,0.5604
4.29077,1.09369,0.4532,2.08121,0.4658
4.23584,0.99823,0.3263,2.06262,0.35958
3.80249,0.796,0.23338,2.03991,0.24592
2.19116,0.51335,-0.01729,2.0131,0.12914
0.60425,0.1851,-0.50287,1.98234,0.01347
-0.45776,-0.15013,-1.07849,1.94773,-0.09725
-0.92163,-0.45497,-1.44383,1.90942,-0.19971
-0.75684,-0.69796,-1.33567,1.86762,-0.29108
-0.50659,-0.85689,-0.70921,1.8226,-0.36912
0.04883,-0.92051,0.21621,1.77474,-0.4323
1.0437,-0.88885,1.07118,1.72444,-0.47983
2.10571,-0.77221,1.52966,1.67209,-0.51165
2.6062,-0.58912,1.45975,1.61806,-0.52836
2.16064,-0.36336,0.95515,1.56277,-0.53098
1.2146,-0.12064,0.2525,1.5067,-0.52097
0.81177,0.11441,-0.39636,1.45036,-0.5001
0.83618,0.32099,-0.82132,1.39426,-0.47046
0.96436,0.48372,-0.96437,1.33891,-0.43434
0.5127,0.59343,-0.85745,1.2848,-0.39396
0.29907,0.64698,-0.5806,1.23244,-0.35129
0.70801,0.64627,-0.22859,1.1823,-0.30799
1.3916,0.59699,0.10946,1.13477,-0.26532
1.92871,0.50723,0.36343,1.09019,-0.22428
2.06909,0.38639,0.49209,1.04895,-0.18542
1.66626,0.24429,0.48798,1.01144,-0.14898
1.31836,0.09061,0.37234,0.97797,-0.11479
1.00708,-0.0654,0.18465,0.94876,-0.08235
1.23901,-0.21475,-0.02526,0.92391,-0.05088
1.29395,-0.34863,-0.20106,0.9035,-0.01938
0.73242,-0.4582,-0.28534,0.8876,0.01307
-0.06714,-0.53496,-0.23856,0.87624,0.04731
-0.30518,-0.57146,-0.06725,0.86937,0.08407
0.18921,-0.56209,0.15819,0.8668,0.12386
0.71411,-0.50424,0.31894,0.86837,0.16697
0.79956,-0.39921,0.3033,0.8739,0.21328
0.24414,-0.25321,0.07526,0.88313,0.2623
0.06104,-0.07764,-0.2859,0.89579,0.31316
0.31128,0.11162,-0.60837,0.9115,0.36454
0.98877,0.29572,-0.71051,0.92994,0.4147
1.88599,0.45475,-0.49894,0.95072,0.46158
2.45972,0.56994,-0.02913,0.97339,0.50295
2.86865,0.62622,0.51165,0.99748,0.53659
3.40576,0.61457,0.89008,1.02252,0.5603
3.96118,0.53372,0.9375,1.04807,0.57209
3.75977,0.39083,0.62901,1.07367,0.57
2.50244,0.20114,0.09226,1.09884,0.55241
0.81787,-0.01352,-0.45252,1.12314,0.51811
0.20142,-0.22723,-0.79017,1.14615,0.46665
0.64087,-0.41343,-0.8026,1.16747,0.39842
1.14136,-0.54845,-0.51509,1.18674,0.31452
0.75073,-0.61484,-0.07917,1.20362,0.21665
0.24414,-0.6037,0.30033,1.21777,0.10708
0.40283,-0.51604,0.46154,1.22892,-0.01127
1.19019,-0.36288,0.35917,1.23683,-0.1349
1.71509,-0.16413,0.08235,1.24138,-0.26
1.24512,0.05398,-0.19457,1.24251,-0.38258
0.59204,0.26266,-0.30425,1.24011,-0.4986
0.28687,0.43456,-0.17567,1.23411,-0.6039
0.62256,0.54724,0.12622,1.22451,-0.69444
1.43433,0.5863,0.43426,1.21138,-0.7666
1.65405,0.54721,0.5679,1.19487,-0.81739
1.09863,0.43596,0.43074,1.17511,-0.84456
-0.23193,0.26808,0.06513,1.15225,-0.84664
-1.53198,0.06637,-0.36707,1.12658,-0.82292
-1.63574,-0.14211,-0.66607,1.09842,-0.77367
-0.79956,-0.32986,-0.69702,1.06809,-0.70003
-0.07324,-0.4727,-0.45929,1.03591,-0.60398
0.04883,-0.55303,-0.08407,1.0022,-0.4883
-0.14038,-0.56188,0.23908,0.96737,-0.35648
0.09155,-0.49984,0.36939,0.93183,-0.21273
0.94605,-0.37677,0.29612,0.89599,-0.06182
1.76392,-0.21017,0.1418,0.86024,0.09115
2.18506,-0.02238,0.07833,0.82493,0.24107
2.14233,0.16261,0.19958,0.79041,0.383
2.09961,0.32248,0.43536,0.75699,0.51233
2.14233,0.43941,0.57476,0.72502,0.62475
2.0813,0.50199,0.40223,0.69478,0.71648
2.05688,0.50633,-0.13308,0.66654,0.78442
1.67236,0.45584,-0.83104,0.64055,0.82648
0.99487,0.36036,-1.31844,0.61706,0.84144
0.41504,0.2341,-1.2651,0.59625,0.82898
0.37842,0.0934,-0.60899,0.57818,0.78971
1.36719,-0.04567,0.36681,0.56287,0.72517
2.58179,-0.16916,1.1771,0.55038,0.63794
2.99683,-0.26669,1.42061,0.54071,0.53129
2.16064,-0.3325,1.02498,0.53384,0.40916
0.70801,-0.36536,0.28313,0.52959,0.27606
-0.37842,-0.36783,-0.3506,0.52774,0.13694
-0.81787,-0.34496,-0.56643,0.52807,-0.00311
-0.72022,-0.30281,-0.39196,0.53031,-0.13915
-0.25635,-0.24715,-0.1357,0.53425,-0.26649
-0.177,-0.18251,-0.12275,0.53962,-0.38086
-0.37231,-0.11189,-0.42378,0.54609,-0.47849
-1.06201,-0.03683,-0.78368,0.55326,-0.55627
-1.33667,0.04209,-0.81095,0.56068,-0.61175
-0.64087,0.12431,-0.29292,0.5679,-0.64328
0.84229,0.20807,0.60032,0.57449,-0.65016
2.34375,0.28943,1.38484,0.58009,-0.63276
2.88696,0.3621,1.56935,0.58431,-0.59246
1.98364,0.41799,0.98885,0.5868,-0.5314
0.22583,0.44815,-0.06916,0.58721,-0.45234
-0.89111,0.444,-1.03623,0.58521,-0.35855
-0.74463,0.39883,-1.41338,0.58046,-0.2538
0.33569,0.30936,-1.06753,0.57267,-0.1424
1.12915,0.17741,-0.284,0.56155,-0.02897
1.08643,0.01068,0.44027,0.54692,0.08189
0.39063,-0.17716,0.71271,0.52864,0.18589
0.19531,-0.36745,0.46313,0.50661,0.27918
0.18921,-0.53848,-0.05721,0.48071,0.35828
0.39063,-0.6679,-0.46486,0.45091,0.42019
0.1648,-0.73597,-0.48236,0.41724,0.46266
-0.25635,-0.72854,-0.08046,0.3799,0.48425
-0.0061,-0.63948,0.53003,0.33915,0.48424
0.89111,-0.47223,1.02129,0.29524,0.46274
1.57471,-0.24015,1.10645,0.2484,0.42072
1.37939,0.03412,0.66467,0.19886,0.36007
-0.02441,0.32095,-0.19769,0.14698,0.28346
-1.31836,0.58713,-1.1652,0.09318,0.19404
-1.51978,0.79998,-1.81644,0.03795,0.09547
-1.00708,0.9317,-1.79577,-0.01824,-0.00822
-0.20142,0.96319,-0.99957,-0.0749,-0.11286
0.56152,0.88682,0.31922,-0.13152,-0.2143
1.36108,0.70783,1.6149,-0.18752,-0.30849
1.94092,0.4439,2.2889,-0.24228,-0.39162
1.69678,0.12343,1.99962,-0.29518,-0.46024
0.57373,-0.2175,0.86689,-0.3456,-0.51138
-1.30005,-0.53957,-0.56849,-0.39299,-0.54271
-3.07617,-0.80496,-1.62732,-0.43682,-0.55257
-4.13208,-0.98233,-1.85938,-0.47655,-0.54017
-3.37524,-1.05073,-1.27352,-0.51166,-0.50549
-1.62354,-1.00224,-0.29312,-0.5417,-0.44935
-0.29907,-0.8429,0.52626,-0.5663,-0.37334
-0.05493,-0.59192,0.82953,-0.5851,-0.27982
-0.65308,-0.27921,0.63347,-0.59768,-0.17178
-0.66528,0.05844,0.24366,-0.60366,-0.05279
-0.06104,0.38198,-0.00153,-0.60278,0.07312
0.8728,0.65515,0.03172,-0.59488,0.20153
1.58081,0.84886,0.21459,-0.57988,0.3278
1.51978,0.94449,0.29752,-0.55773,0.44731
0.97046,0.9358,0.12696,-0.52851,0.5556
0.40283,0.82914,-0.22999,-0.49241,0.64856
0.20142,0.64219,-0.5382,-0.44962,0.72244
0.44556,0.40116,-0.57544,-0.40033,0.77392
0.43335,0.13676,-0.30019,-0.34475,0.8004
0.26856,-0.11994,0.11656,-0.28317,0.80029
-0.05493,-0.34151,0.415,-0.21601,0.77295
-0.24414,-0.50742,0.42741,-0.14377,0.71862
-0.23193,-0.6061,0.18578,-0.06707,0.6384
-0.23193,-0.63555,-0.11625,0.01348,0.53422
-0.46387,-0.60269,-0.26899,0.09726,0.40881
-0.53711,-0.52142,-0.19005,0.18363,0.2656
-0.36621,-0.40983,0.03363,0.27199,0.10877
0.1648,-0.28677,0.22384,0.3617,-0.05685
0.82398,-0.16874,0.24275,0.45207,-0.22589
0.7019,-0.06748,0.08155,0.54234,-0.39281
0.12817,0.01126,-0.14875,0.63175,-0.5521
-0.40894,0.06779,-0.30196,0.71959,-0.69845
-0.15259,0.10767,-0.29038,0.80524,-0.82676
0.54932,0.13987,-0.1255,0.8881,-0.93226
0.80566,0.1743,0.10608,0.96752,-1.01082
0.31738,0.21888,0.30007,1.04291,-1.05922
0.01831,0.27739,0.38136,1.11372,-1.07529
0.59204,0.34793,0.32168,1.17946,-1.05784
0.98877,0.42289,0.1361,1.23972,-1.00669
0.83618,0.48971,-0.12246,1.29413,-0.92285
0.25024,0.53265,-0.36919,1.34244,-0.80849
0.14038,0.5354,-0.50618,1.38442,-0.66685
0.8728,0.48434,-0.46193,1.41989,-0.50195
1.5564,0.37156,-0.23694,1.44866,-0.31855
1.59912,0.19739,0.07794,1.47061,-0.12217
1.44653,-0.0286,0.33836,1.48574,0.08114
1.33667,-0.2878,0.42818,1.4941,0.28494
1.61743,-0.55404,0.33543,1.49587,0.48255
1.74561,-0.79643,0.16415,1.49126,0.66735
1.37939,-0.98302,0.06132,1.48058,0.83312
0.85449,-1.08542,0.10348,1.46418,0.97433
0.98267,-1.08305,0.22585,1.44249,1.08624
1.55029,-0.96636,0.25531,1.41607,1.16491
2.12402,-0.73873,0.03645,1.38536,1.20744
2.22168,-0.41693,-0.43154,1.35071,1.21205
2.09961,-0.03018,-0.94822,1.31244,1.17834
1.83716,0.38264,-1.20158,1.27102,1.10724
2.14844,0.77735,-0.95078,1.22709,1.00094
3.32031,1.10972,-0.19203,1.1813,0.8628
5.05981,1.34102,0.80058,1.13422,0.6973
6.02417,1.44265,1.59347,1.0864,0.50999
5.26123,1.39967,1.80937,1.03839,0.30717
3.52173,1.21278,1.32203,0.99071,0.09562
1.59912,0.8985,0.32339,0.94386,-0.11769
0.3479,0.48777,-0.76934,0.89835,-0.32569
-0.87891,0.02259,-1.51512,0.8547,-0.52136
-1.92871,-0.44874,-1.65201,0.81335,-0.69807
-2.32544,-0.87695,-1.20076,0.77465,-0.84993
-2.36206,-1.21741,-0.42617,0.73891,-0.97195
-2.03247,-1.43512,0.31433,0.70645,-1.06033
-1.58691,-1.50847,0.74872,0.67744,-1.11237
-0.93994,-1.4314,0.80426,0.65195,-1.12662
-0.66528,-1.2138,0.60578,0.62999,-1.10297
-0.73853,-0.88018,0.36858,0.61162,-1.0427
-0.7019,-0.46674,0.25545,0.59688,-0.94845
-0.42114,-0.01713,0.28126,0.58572,-0.82402
0.14038,0.4223,0.32082,0.57801,-0.67424
0.78735,0.80755,0.20974,0.57355,-0.50493
1.2207,1.10159,-0.12749,0.57211,-0.32259
1.23291,1.27803,-0.60671,0.57347,-0.13422
0.64697,1.32348,-1.01628,0.57734,0.05317
0.09155,1.23846,-1.13299,0.5834,0.23273
0.55542,1.03693,-0.85048,0.59127,0.39794
1.69067,0.74439,-0.24192,0.60053,0.54286
2.87476,0.39461,0.47584,0.61078,0.66228
3.27148,0.02551,1.04846,0.62163,0.75207
2.78931,-0.32506,1.29474,0.63268,0.80928
1.87988,-0.62307,1.16372,0.64349,0.8323
1.06812,-0.84164,0.72322,0.65369,0.82099
0.83618,-0.96357,0.10926,0.66294,0.77657
0.57983,-0.9827,-0.52226,0.67094,0.70173
-0.24414,-0.90394,-1.02028,0.67736,0.6003
-1.30615,-0.7422,-1.2511,0.68184,0.4771
-1.61743,-0.52028,-1.12619,0.68407,0.33779
-0.73242,-0.26597,-0.64836,0.68374,0.18858
0.5249,-0.0085,0.05164,0.68064,0.03608
1.53198,0.22473,0.73241,0.67467,-0.1131
2.05078,0.41112,1.12918,0.66578,-0.25261
1.79443,0.53498,1.07846,0.65391,-0.37649
1.18408,0.58887,0.61119,0.63898,-0.47951
0.49439,0.57381,-0.04709,0.62092,-0.55733
0.01221,0.49855,-0.58137,0.59972,-0.60673
0.04883,0.37817,-0.74646,0.57543,-0.62576
0.25635,0.23201,-0.49541,0.54818,-0.6137
0.41504,0.08101,-0.00412,0.51817,-0.57118
0.37842,-0.0551,0.42373,0.48565,-0.50016
-0.0061,-0.16037,0.52466,0.45092,-0.40384
-0.12817,-0.22432,0.2234,0.41425,-0.28654
-0.13428,-0.243,-0.31905,0.3759,-0.15351
-0.10376,-0.21904,-0.78829,0.33613,-0.01075
-0.27466,-0.16109,-0.88697,0.29521,0.13525
-0.06714,-0.08239,-0.50248,0.25347,0.2778
0.57373,0.00141,0.21929,0.21121,0.4103
1.67847,0.07481,0.93808,0.16871,0.5266
2.67944,0.12482,1.29304,0.12626,0.62122
2.80762,0.14277,1.09223,0.08416,0.68954
1.81274,0.12515,0.41521,0.04275,0.72802
0.26856,0.07402,-0.42863,0.00238,0.73443
-0.89111,-0.00322,-1.0628,-0.03666,0.708
-1.07422,-0.09475,-1.23344,-0.07418,0.64929
-0.43945,-0.18611,-0.92319,-0.11003,0.56013
-0.12817,-0.26233,-0.32934,-0.14405,0.44354
-0.15869,-0.31025,0.26788,-0.17603,0.30384
-0.23193,-0.32032,0.65612,-0.20581,0.1465
-0.23193,-0.28796,0.77057,-0.23331,-0.02215
-0.18311,-0.21417,0.66991,-0.25846,-0.19536
-0.31128,-0.10573,0.45152,-0.28117,-0.36615
-0.44556,0.02557,0.18021,-0.30138,-0.52758
-0.83618,0.16428,-0.11991,-0.31915,-0.67294
-1.16577,0.29358,-0.42075,-0.33456,-0.79607
-1.58691,0.39762,-0.64954,-0.3477,-0.89174
-1.69067,0.46337,-0.70166,-0.35864,-0.95579
-1.2085,0.48224,-0.50733,-0.36745,-0.98539
-0.81787,0.45102,-0.10157,-0.37419,-0.97892
-0.59815,0.3723,0.36464,-0.37902,-0.93619
-0.48828,0.25409,0.69146,-0.38212,-0.85849
-0.67139,0.10875,0.73913,-0.38367,-0.74859
-0.73853,-0.04856,0.50604,-0.38384,-0.61059
-0.98267,-0.20162,0.12162,-0.38276,-0.44962
-1.33667,-0.33508,-0.23814,-0.38054,-0.27169
-1.51367,-0.4361,-0.45221,-0.37732,-0.08352
-1.57471,-0.49565,-0.50422,-0.37324,0.10776
-1.25122,-0.5092,-0.45402,-0.36846,0.2949
-0.62256,-0.47695,-0.36418,-0.36313,0.47095
-0.14038,-0.40342,-0.24171,-0.35734,0.62938
0.08545,-0.29676,-0.04337,-0.35114,0.7643
0.24414,-0.16761,0.26115,-0.34458,0.87075
1.00708,-0.02771,0.61901,-0.33777,0.94494
1.84937,0.11117,0.88007,-0.33075,0.98451
2.30713,0.23818,0.86285,-0.32354,0.98859
1.70898,0.34402,0.4694,-0.31611,0.95772
0.38452,0.42145,-0.22077,-0.3084,0.89384
-0.42114,0.46559,-0.94479,-0.30039,0.8
-0.26856,0.47394,-1.36152,-0.29205,0.68038
0.354,0.44626,-1.22543,-0.28331,0.54018
0.7019,0.38446,-0.53662,-0.27404,0.38542
0.58594,0.29248,0.42409,-0.26413,0.22256
0.90332,0.17629,1.21319,-0.25353,0.05816
1.32446,0.04356,1.4461,-0.2422,-0.10132
1.31226,-0.09661,1.00742,-0.23008,-0.24974
-0.07935,-0.23412,0.12687,-0.21704,-0.38143
-1.75781,-0.35832,-0.7352,-0.20298,-0.49164
-2.48413,-0.45836,-1.13989,-0.18786,-0.57673
-2.36816,-0.52412,-0.9163,-0.17165,-0.63424
-1.71509,-0.54722,-0.2529,-0.15431,-0.66301
-0.89722,-0.52224,0.42607,-0.13583,-0.66302
-0.78735,-0.44759,0.72605,-0.1162,-0.63555
-0.83618,-0.32612,0.52178,-0.09544,-0.5831
-1.0498,-0.16569,0.01742,-0.07358,-0.50926
-1.00098,0.02098,-0.40889,-0.05073,-0.41859
-0.64087,0.21709,-0.46985,-0.02694,-0.31628
-0.46387,0.4033,-0.15973,-0.00235,-0.20784
0.23804,0.55964,0.25941,0.02289,-0.0989
1.23901,0.66755,0.46069,0.04859,0.0051
1.75781,0.71209,0.29514,0.07454,0.09904
1.20239,0.68387,-0.10301,0.10053,0.17837
0.15259,0.58097,-0.42391,0.12634,0.23935
-0.15869,0.4098,-0.41928,0.15175,0.27924
0.55542,0.18494,-0.09043,0.17657,0.29652
1.25732,-0.07198,0.31336,0.20061,0.29083
1.11084,-0.3344,0.48532,0.22363,0.2629
0.04272,-0.57349,0.29543,0.2454,0.21461
-0.8728,-0.76135,-0.10922,0.2657,0.14885
-0.99487,-0.87424,-0.41742,0.2843,0.0695
-0.61646,-0.89543,-0.39403,0.30097,-0.01883
-0.26245,-0.81757,-0.06489,0.3155,-0.11109
-0.26245,-0.64441,0.29934,0.32773,-0.20199
0.11597,-0.39096,0.39327,0.33758,-0.28629
0.354,-0.08243,0.12073,0.34493,-0.35895
0.07324,0.24862,-0.31632,0.34966,-0.41539
-0.26245,0.56567,-0.56032,0.35165,-0.45168
0.0061,0.83228,-0.3715,0.35088,-0.46475
0.90332,1.01626,0.1743,0.34739,-0.45269
1.63574,1.09361,0.71816,0.34126,-0.41481
1.53809,1.05172,0.86624,0.33256,-0.35172
0.95215,0.89118,0.47571,0.3214,-0.26534
0.04883,0.62626,-0.23285,0.30799,-0.15866
-0.62866,0.28359,-0.82146,0.29255,-0.03576
-0.90942,-0.10068,-0.9356,0.27534,0.09851
-0.53711,-0.48465,-0.54289,0.25661,0.23845
-0.14648,-0.82552,0.06068,0.2366,0.37793
0.10376,-1.08431,0.47617,0.21557,0.51074
0.23804,-1.23039,0.48964,0.19377,0.63088
0.37231,-1.24513,0.20837,0.17149,0.73287
0.36621,-1.12419,-0.04938,0.149,0.8118
0.14038,-0.87845,-0.02138,0.12668,0.86355
0.59815,-0.53309,0.28223,0.10492,0.88508
1.59912,-0.12488,0.57951,0.08407,0.87459
2.4231,0.30185,0.53448,0.06442,0.83157
2.0813,0.70031,0.02872,0.04622,0.75688
1.0498,1.02652,-0.71688,0.02969,0.65266
0.3418,1.24429,-1.26428,0.01508,0.52234
0.62256,1.32924,-1.24069,0.00261,0.37042
1.14136,1.27159,-0.58825,-0.00753,0.20239
1.9104,1.07739,0.38784,-0.01516,0.02444
2.31934,0.76802,1.19744,-0.02019,-0.15674
1.82495,0.37778,1.44988,-0.02259,-0.3343
0.32959,-0.05023,1.06334,-0.02243,-0.50156
-1.35498,-0.46893,0.27981,-0.01973,-0.65226
-2.50854,-0.83244,-0.49822,-0.01458,-0.78076
-2.86255,-1.10138,-0.93108,-0.0071,-0.88229
-3.25317,-1.24727,-0.89499,0.00249,-0.95304
-3.25928,-1.25585,-0.49872,0.01391,-0.99058
-2.72827,-1.12858,0.01031,0.0269,-0.99386
-2.02637,-0.88224,0.37992,0.04116,-0.9632
-1.42212,-0.54692,0.4589,0.05642,-0.90029
-1.10474,-0.16242,0.2425,0.0724,-0.80808
-0.65308,0.22659,-0.13882,0.08878,-0.69071
-0.09766,0.57603,-0.47596,0.10511,-0.55326
0.42114,0.84771,-0.56735,0.12091,-0.4015
0.62866,1.01364,-0.31353,0.13574,-0.24163
0.95215,1.05894,0.21875,0.14922,-0.07996
1.64185,0.98337,0.80503,0.16101,0.07727
2.52686,0.80101,1.15615,0.17073,0.22406
2.78931,0.53837,1.05958,0.17797,0.35482
1.99585,0.23058,0.4947,0.18238,0.46463
0.21362,-0.08308,-0.34514,0.1837,0.54977
-1.39771,-0.36433,-1.13864,0.18177,0.60791
-1.72119,-0.58052,-1.58174,0.17647,0.638
-0.85449,-0.70848,-1.51227,0.16772,0.6401
0.31738,-0.73738,-0.95676,0.15544,0.61543
0.82398,-0.66987,-0.0957,0.13962,0.56645
0.8728,-0.5214,0.81429,0.12033,0.49688
1.18408,-0.31766,1.51471,0.09774,0.41131
2.05078,-0.09073,1.80043,0.07207,0.31485
2.56958,0.12557,1.56438,0.04364,0.21293
1.76392,0.30032,0.84136,0.01281,0.1111
-0.04272,0.40988,-0.1701,-0.02002,0.01484
-1.69678,0.44116,-1.14429,-0.05448,-0.07071
-2.31934,0.39339,-1.74008,-0.09009,-0.14113
-2.10571,0.27797,-1.75034,-0.12634,-0.19284
-1.72119,0.11643,-1.20738,-0.16262,-0.2233
-1.15967,-0.06265,-0.37,-0.19831,-0.23113
-0.37231,-0.22798,0.41451,-0.23272,-0.21608
0.23804,-0.35016,0.89657,-0.26522,-0.17919
0.36621,-0.40644,1.03783,-0.29515,-0.12272
0.177,-0.38439,0.97859,-0.32185,-0.05002
0.28687,-0.28389,0.88678,-0.34464,0.03465
0.7019,-0.11757,0.80337,-0.36283,0.12643
0.94605,0.09079,0.60533,-0.37584,0.21998
0.54321,0.30945,0.12179,-0.38314,0.3097
-0.43335,0.50329,-0.67505,-0.38419,0.38998
-1.28784,0.63903,-1.55182,-0.37848,0.45553
