EEG,alpha,beta,delta,theta
0.12817,0.36403,-0.58502,0.42992,0.33185
0.3479,0.327,-0.84767,0.41398,0.37922
0.6897,0.27407,-0.94482,0.39455,0.41852
0.5188,0.20312,-0.69596,0.37177,0.44743
0.29907,0.11268,-0.08656,0.34582,0.46388
0.43945,0.00311,0.65326,0.3169,0.46609
1.06812,-0.12244,1.14408,0.28522,0.45275
1.55029,-0.25754,1.08805,0.25113,0.42316
1.44043,-0.39243,0.48529,0.21502,0.3773
0.29907,-0.51436,-0.32512,0.17734,0.31582
-1.16577,-0.6087,-0.85367,0.13856,0.23989
-1.78223,-0.66087,-0.77285,0.09914,0.15123
-0.93384,-0.65851,-0.14625,0.05961,0.05207
0.65308,-0.59357,0.59234,0.0205,-0.05482
1.09253,-0.46422,0.91352,-0.01768,-0.16628
0.15869,-0.27614,0.54696,-0.05441,-0.27873
-1.52588,-0.04297,-0.32275,-0.08914,-0.38841
-2.32544,0.21451,-1.15947,-0.12128,-0.49146
-1.82495,0.47039,-1.41354,-0.15031,-0.58415
-0.84839,0.69631,-0.87264,-0.17572,-0.66302
0.11597,0.86471,0.20564,-0.19709,-0.72491
0.80566,0.95243,1.25605,-0.21402,-0.76707
1.3855,0.94419,1.74324,-0.22613,-0.78738
1.41602,0.83508,1.44971,-0.23309,-0.78444
0.76904,0.63199,0.54693,-0.2346,-0.75757
-0.72632,0.35345,-0.55248,-0.23044,-0.70688
-2.47803,0.02812,-1.42567,-0.22046,-0.63323
-3.14941,-0.30827,-1.79771,-0.20462,-0.53821
-2.45972,-0.61707,-1.57241,-0.18297,-0.42413
-1.22681,-0.86169,-0.79573,-0.15563,-0.29388
-0.42725,-1.01232,0.35964,-0.12275,-0.15125
-0.10986,-1.0499,1.57188,-0.08457,-0.00049
0.42114,-0.96889,2.38622,-0.04137,0.15392
1.41602,-0.7783,2.35558,0.00646,0.30729
1.61133,-0.50105,1.29063,0.05851,0.45491
0.53101,-0.17118,-0.52657,0.11424,0.59218
-0.98267,0.17055,-2.3563,0.17311,0.71482
-1.89209,0.48187,-3.31424,0.23448,0.81893
-1.28174,0.72474,-2.84875,0.29765,0.90103
0.8667,0.87034,-1.09543,0.36192,0.95832
3.85742,0.90284,1.14052,0.42657,0.98873
6.35986,0.82146,2.79954,0.49092,0.99097
6.68945,0.64036,3.14513,0.5542,0.96458
4.36401,0.38684,2.15117,0.61564,0.90988
1.05591,0.09769,0.46264,0.67449,0.82819
-0.8667,-0.18594,-1.02874,0.73005,0.72158
-0.59204,-0.42457,-1.70956,0.78159,0.59284
0.21362,-0.58609,-1.53624,0.82842,0.44546
0,-0.65028,-0.93662,0.8699,0.28361
-0.95215,-0.61145,-0.43259,0.90546,0.112
-1.44043,-0.47891,-0.26831,0.93463,-0.06443
-0.59815,-0.27568,-0.29575,0.95696,-0.24064
0.64087,-0.03503,-0.16691,0.97207,-0.41156
1.72729,0.20428,0.33294,0.97967,-0.57229
2.02026,0.40387,1.06856,0.97953,-0.71826
2.01416,0.53142,1.61278,0.97153,-0.84525
1.5686,0.56558,1.53658,0.95569,-0.94948
0.68359,0.4991,0.72716,0.93216,-1.02766
-0.33569,0.34018,-0.48968,0.90112,-1.07736
-1.46484,0.11147,-1.51205,0.86286,-1.09709
-2.11792,-0.15307,-1.81155,0.81775,-1.08631
-2.14233,-0.41307,-1.24942,0.76626,-1.04517
-1.75171,-0.62758,-0.16219,0.70895,-0.97479
-0.92163,-0.76103,0.83695,0.64647,-0.87697
-0.0061,-0.78859,1.21795,0.57953,-0.75415
0.53101,-0.69997,0.83828,0.50892,-0.60934
0.42114,-0.50141,0.00875,0.43549,-0.44633
-0.21973,-0.21524,-0.71336,0.36011,-0.26974
-0.46997,0.12273,-0.87346,0.28369,-0.08477
0.50049,0.46799,-0.39574,0.20718,0.10333
2.19116,0.77353,0.38681,0.13158,0.28924
3.28369,0.99629,0.95888,0.05794,0.46768
3.125,1.10307,0.96008,-0.01271,0.63346
2.27051,1.0751,0.41066,-0.07937,0.78174
1.15356,0.91088,-0.31993,-0.1411,0.90824
0.13428,0.62667,-0.77566,-0.19701,1.0094
-0.40283,0.2548,-0.72506,-0.24629,1.08237
-0.31738,-0.16025,-0.30336,-0.28812,1.12489
0.25024,-0.56757,0.10998,-0.32177,1.13544
0.23193,-0.91641,0.18802,-0.34656,1.11349
-0.72632,-1.16277,-0.09251,-0.36196,1.05971
-1.63574,-1.27509,-0.43418,-0.36753,0.97584
-1.57471,-1.23822,-0.45106,-0.36296,0.86431
-0.26245,-1.05544,0.01694,-0.34799,0.72815
1.09253,-0.74821,0.74482,-0.32246,0.57128
1.5686,-0.35356,1.2495,-0.28629,0.39843
1.0376,0.08069,1.12587,-0.23955,0.21489
0.22583,0.50189,0.35503,-0.18246,0.02608
-0.12817,0.8593,-0.64633,-0.11537,-0.16258
-0.20752,1.11043,-1.28806,-0.03878,-0.34563
-0.06714,1.22634,-1.20446,0.04672,-0.51764
0.03662,1.19523,-0.50581,0.14051,-0.67347
0.40283,1.02365,0.30021,0.24189,-0.8085
0.8667,0.73525,0.66661,0.35005,-0.91872
0.87891,0.36774,0.39389,0.46412,-1.00083
0.14648,-0.03198,-0.2308,0.58308,-1.05245
-0.72022,-0.41369,-0.6444,0.70587,-1.07226
-1.16577,-0.73034,-0.42257,0.83145,-1.05997
-0.45166,-0.944,0.3943,0.95871,-1.01631
0.64087,-1.03059,1.29792,1.08657,-0.94294
1.31226,-0.98282,1.64201,1.21387,-0.84252
0.96436,-0.81085,1.08151,1.33945,-0.71858
-0.28076,-0.54077,-0.17857,1.46222,-0.57537
-1.3916,-0.21089,-1.49239,1.58109,-0.41774
-1.63574,0.13324,-2.16423,1.69498,-0.25091
-0.58594,0.44516,-1.86014,1.80288,-0.0804
1.26343,0.68363,-0.77994,1.90382,0.08823
2.99072,0.81808,0.49974,1.99697,0.24956
4.30298,0.83258,1.38473,2.08154,0.39851
4.74243,0.72765,1.58303,2.15683,0.53043
4.27856,0.52011,1.19746,2.22223,0.64134
3.40576,0.24054,0.57246,2.27722,0.72807
3.02124,-0.07086,0.03575,2.32145,0.78832
3.07007,-0.36967,-0.27957,2.35469,0.82076
2.81372,-0.61317,-0.4362,2.37678,0.82502
2.03857,-0.76634,-0.55755,2.38765,0.80179
1.47705,-0.80692,-0.68633,2.38727,0.7528
1.36719,-0.72853,-0.74547,2.37574,0.68076
2.03247,-0.54155,-0.61769,2.35335,0.58916
2.83203,-0.27171,-0.26496,2.32055,0.48216
3.49731,0.04337,0.21323,2.27788,0.3643
4.07104,0.35943,0.62589,2.22589,0.24034
3.77808,0.63165,0.8042,2.16515,0.11518
3.69263,0.82087,0.69731,2.09633,-0.00638
3.58276,0.89895,0.38993,2.0202,-0.11973
3.479,0.85297,0.03878,1.93761,-0.22075
2.69165,0.68731,-0.22026,1.84939,-0.30598
1.44653,0.42334,-0.33223,1.75635,-0.37262
0.64087,0.09642,-0.32229,1.65929,-0.41873
0.32959,-0.24893,-0.25141,1.55906,-0.44337
0.26856,-0.56509,-0.17071,1.45655,-0.44666
-0.26856,-0.80791,-0.1024,1.35266,-0.42967
-1.03149,-0.94287,-0.04865,1.24826,-0.39415
-0.84839,-0.95005,-0.00841,1.14418,-0.34252
-0.30518,-0.82725,0.01535,1.04118,-0.27786
0.04272,-0.5906,0.02256,0.93995,-0.20389
0.01831,-0.27261,0.02673,0.84114,-0.12468
0.1709,0.08254,0.05509,0.74533,-0.04439
1.09253,0.42528,0.13069,0.65299,0.0329
2.04468,0.70751,0.2453,0.56451,0.10324
2.37427,0.8893,0.34379,0.48022,0.16305
2.06299,0.94451,0.33942,0.40043,0.20927
1.67236,0.86468,0.16373,0.32535,0.23958
1.30005,0.66061,-0.17183,0.25517,0.25237
0.57373,0.36081,-0.54531,0.18992,0.24692
0.07935,0.00777,-0.76023,0.12956,0.22349
-0.12817,-0.34806,-0.64914,0.07395,0.18328
-0.06714,-0.65524,-0.19275,0.02297,0.12832
0.10376,-0.86867,0.4259,-0.02353,0.06116
-0.02441,-0.95604,0.89013,-0.06579,-0.01504
-0.38452,-0.90267,0.92393,-0.10412,-0.09659
-0.50049,-0.71391,0.47404,-0.13888,-0.17939
-0.56763,-0.41462,-0.22679,-0.17045,-0.25919
-0.73853,-0.04567,-0.77793,-0.19926,-0.33201
-1.19019,0.34165,-0.8565,-0.22573,-0.3942
-1.43433,0.69266,-0.4329,-0.25026,-0.44249
-0.71411,0.95674,0.19747,-0.27321,-0.47416
0.32959,1.09442,0.60523,-0.29496,-0.48708
0.91553,1.08329,0.52234,-0.31589,-0.48001
0.15259,0.92121,0.03544,-0.33635,-0.45244
-1.2146,0.62671,-0.46864,-0.3566,-0.40475
-2.38647,0.23656,-0.57868,-0.3769,-0.33823
-2.28882,-0.19903,-0.1656,-0.39747,-0.25494
-1.23291,-0.62315,0.50555,-0.41849,-0.15772
-0.18921,-0.97982,0.94902,-0.44008,-0.04999
-0.3479,-1.22145,0.80063,-0.46229,0.06427
-1.66016,-1.31492,0.08628,-0.48514,0.18076
-2.92358,-1.24584,-0.778,-0.50861,0.29518
-2.63062,-1.02103,-1.25856,-0.53257,0.4033
-1.45264,-0.66747,-1.05874,-0.55685,0.50121
0.23804,-0.22846,-0.30841,-0.58119,0.58521
1.80664,0.24235,0.53748,-0.60538,0.65213
2.49634,0.68767,1.00827,-0.62914,0.6995
2.68555,1.05347,0.91147,-0.6522,0.7256
2.05688,1.2959,0.41376,-0.67421,0.72945
1.71509,1.38696,-0.122,-0.69481,0.71086
1.50757,1.31788,-0.40133,-0.7136,0.67032
1.37939,1.09959,-0.37009,-0.73016,0.60926
1.06201,0.76089,-0.18639,-0.74413,0.52986
0.31128,0.34433,-0.05064,-0.75515,0.43494
-0.62256,-0.09933,-0.04328,-0.76291,0.32775
-1.70288,-0.51771,-0.09485,-0.76706,0.2118
-2.19727,-0.86352,-0.08725,-0.76727,0.0908
-2.05078,-1.10028,0.01981,-0.76324,-0.03144
-1.83716,-1.20625,0.14983,-0.75475,-0.1511
-2.09961,-1.1761,0.18506,-0.74164,-0.2646
-2.66724,-1.02063,0.08012,-0.72381,-0.36877
-3.00903,-0.76463,-0.08924,-0.7012,-0.46089
-2.55127,-0.44326,-0.18538,-0.67384,-0.53879
-1.81274,-0.09715,-0.12488,-0.64182,-0.60078
-0.92163,0.23307,0.0499,-0.60525,-0.64574
-0.44556,0.51178,0.20543,-0.56431,-0.67325
-0.55542,0.71216,0.22681,-0.51926,-0.68342
-0.78735,0.81865,0.11053,-0.47041,-0.67695
-0.79956,0.82798,-0.03993,-0.41814,-0.65496
-0.31128,0.74875,-0.10764,-0.36285,-0.61904
0.24414,0.59938,-0.06371,-0.30499,-0.57096
0.26245,0.40478,0.01237,-0.24506,-0.51258
-0.21973,0.19255,0.01038,-0.18365,-0.44587
-0.61035,-0.01071,-0.10303,-0.12132,-0.37291
-0.36011,-0.18277,-0.24292,-0.05869,-0.29579
0.15259,-0.30824,-0.2729,0.00361,-0.21642
0.39673,-0.37969,-0.12723,0.06499,-0.13645
0.30518,-0.39751,0.11724,0.12485,-0.05726
0.31128,-0.36893,0.28913,0.18264,0.01997
0.43335,-0.30629,0.26187,0.23776,0.0942
0.65918,-0.22473,0.07189,0.28965,0.16456
0.53711,-0.13952,-0.09157,0.33778,0.23034
0.29297,-0.0635,-0.0359,0.3817,0.29102
0.41504,-0.00552,0.25307,0.42097,0.34616
0.79346,0.03044,0.55069,0.45529,0.39524
0.98877,0.04504,0.52948,0.48442,0.43779
0.59204,0.04295,0.01661,0.50821,0.4734
-0.42114,0.03145,-0.81279,0.52659,0.50168
-1.10474,0.01882,-1.47471,0.53946,0.52214
-0.72022,0.01251,-1.45949,0.54679,0.53425
0.29297,0.01763,-0.59334,0.54864,0.53752
1.61133,0.03595,0.77566,0.5452,0.53154
2.58179,0.06564,1.92384,0.53678,0.51579
2.96021,0.10161,2.17138,0.52377,0.48979
2.45972,0.13649,1.31743,0.50653,0.4532
1.05591,0.16208,-0.20118,0.48552,0.40594
-0.53101,0.17093,-1.55133,0.4613,0.34835
-1.15967,0.15802,-2.00528,0.43447,0.2811
-0.6958,0.12181,-1.38526,0.40564,0.20516
0.60425,0.06483,-0.15754,0.37547,0.12193
1.83105,-0.0066,0.8871,0.34463,0.03308
2.12402,-0.08329,1.15188,0.31383,-0.05928
1.44043,-0.15445,0.60645,0.28374,-0.15267
0.40283,-0.20952,-0.23526,0.25502,-0.24438
-0.44556,-0.23973,-0.70175,0.22828,-0.33153
-0.3418,-0.23963,-0.44157,0.20413,-0.41117
0.31128,-0.20803,0.34057,0.18318,-0.48042
1.15967,-0.14827,1.04388,0.16601,-0.53652
1.23901,-0.06793,1.10513,0.15315,-0.57707
0.1709,0.022,0.3978,0.14507,-0.60009
-1.50146,0.1087,-0.67856,0.14213,-0.60413
-2.68555,0.17965,-1.46893,0.14461,-0.58832
-2.33765,0.22487,-1.49655,0.15267,-0.55251
-1.26953,0.23841,-0.75662,0.16642,-0.49736
-0.13428,0.21907,0.31071,0.18593,-0.42438
0.67139,0.17054,1.12401,0.21115,-0.3359
0.90942,0.10093,1.31531,0.24194,-0.23509
0.43945,0.02166,0.90514,0.27803,-0.12574
-0.09766,-0.05455,0.21484,0.31907,-0.01204
-0.50659,-0.11587,-0.38034,0.36466,0.10155
-0.09155,-0.15327,-0.66851,0.41433,0.21045
0.31128,-0.1622,-0.65371,0.46753,0.31001
0.33569,-0.14328,-0.4565,0.52361,0.39581
0.21362,-0.10221,-0.18404,0.58184,0.46395
0.71411,-0.04864,0.11664,0.64143,0.51105
1.48926,0.00553,0.40736,0.70163,0.5345
2.14844,0.04827,0.5933,0.76169,0.53257
2.38037,0.06966,0.53889,0.82083,0.50474
1.97754,0.06389,0.17586,0.87818,0.45172
1.23291,0.03088,-0.3862,0.9329,0.37539
0.71411,-0.02346,-0.86263,0.98415,0.27869
0.6958,-0.08806,-0.94395,1.03119,0.1654
1.47705,-0.14834,-0.50624,1.07329,0.04003
2.18506,-0.18884,0.27248,1.10977,-0.09215
2.35596,-0.19586,0.98917,1.13996,-0.22519
2.2522,-0.16042,1.2507,1.16325,-0.3528
1.63574,-0.08054,0.9139,1.17916,-0.46878
